source,target,edge_type,author_order,weight
author:md5:f756a36d150ba332fa33af094c684162,author:md5:d41d8cd98f00b204e9800998ecf8427e,coauthor,,1.0
author:md5:f756a36d150ba332fa33af094c684162,author:md5:d1d24ff9f1975db42ae2df4b0b3425b3,coauthor,,1.0
author:md5:fce15481deb68367b42f5a91fa32d17b,author:md5:50b682adbf2f2efabb983a960de49f10,coauthor,,1.0
author:md5:fce15481deb68367b42f5a91fa32d17b,author:md5:d41d8cd98f00b204e9800998ecf8427e,coauthor,,1.0
author:md5:fce15481deb68367b42f5a91fa32d17b,author:md5:d1d24ff9f1975db42ae2df4b0b3425b3,coauthor,,1.0
author:md5:50b682adbf2f2efabb983a960de49f10,author:md5:d41d8cd98f00b204e9800998ecf8427e,coauthor,,1.0
author:md5:50b682adbf2f2efabb983a960de49f10,author:md5:d1d24ff9f1975db42ae2df4b0b3425b3,coauthor,,1.0
author:md5:d41d8cd98f00b204e9800998ecf8427e,author:md5:d1d24ff9f1975db42ae2df4b0b3425b3,coauthor,,1.0
author:md5:8cd1df0a5282cfcd62e72cca5f05dba9,author:md5:5031ed768603d2e064b49fd804916c8d,coauthor,,1.0
author:md5:8cd1df0a5282cfcd62e72cca5f05dba9,author:md5:9963943b01bd5206edace7d7bbdd5115,coauthor,,1.0
author:md5:8cd1df0a5282cfcd62e72cca5f05dba9,author:md5:d41d8cd98f00b204e9800998ecf8427e,coauthor,,1.0
author:md5:8cd1df0a5282cfcd62e72cca5f05dba9,author:md5:9695ed5913a5f41d4ad9dd9593712b8c,coauthor,,1.0
author:md5:5031ed768603d2e064b49fd804916c8d,author:md5:9963943b01bd5206edace7d7bbdd5115,coauthor,,1.0
author:md5:5031ed768603d2e064b49fd804916c8d,author:md5:d41d8cd98f00b204e9800998ecf8427e,coauthor,,1.0
author:md5:5031ed768603d2e064b49fd804916c8d,author:md5:9695ed5913a5f41d4ad9dd9593712b8c,coauthor,,1.0
author:md5:9963943b01bd5206edace7d7bbdd5115,author:md5:d41d8cd98f00b204e9800998ecf8427e,coauthor,,1.0
author:md5:9963943b01bd5206edace7d7bbdd5115,author:md5:9695ed5913a5f41d4ad9dd9593712b8c,coauthor,,1.0
author:md5:d41d8cd98f00b204e9800998ecf8427e,author:md5:9695ed5913a5f41d4ad9dd9593712b8c,coauthor,,1.0
author:md5:80d408b1170dee6fb8b2410edfb030a8,author:md5:b59a6149b4b2d454e3e06c431feb8416,coauthor,,1.0
author:md5:80d408b1170dee6fb8b2410edfb030a8,author:md5:d6d280db5219276e0beec4c84db83a39,coauthor,,1.0
author:md5:80d408b1170dee6fb8b2410edfb030a8,author:md5:7dc072d2c31845cf80668f25c3314b5c,coauthor,,1.0
author:md5:80d408b1170dee6fb8b2410edfb030a8,author:md5:9d290489a94c37920f4d6a4bcb01ea06,coauthor,,1.0
author:md5:80d408b1170dee6fb8b2410edfb030a8,author:md5:c7464b5269d4bab74768ac8a9dd3eb6a,coauthor,,1.0
author:md5:b59a6149b4b2d454e3e06c431feb8416,author:md5:d6d280db5219276e0beec4c84db83a39,coauthor,,1.0
author:md5:b59a6149b4b2d454e3e06c431feb8416,author:md5:7dc072d2c31845cf80668f25c3314b5c,coauthor,,1.0
author:md5:b59a6149b4b2d454e3e06c431feb8416,author:md5:9d290489a94c37920f4d6a4bcb01ea06,coauthor,,1.0
author:md5:b59a6149b4b2d454e3e06c431feb8416,author:md5:c7464b5269d4bab74768ac8a9dd3eb6a,coauthor,,1.0
author:md5:d6d280db5219276e0beec4c84db83a39,author:md5:7dc072d2c31845cf80668f25c3314b5c,coauthor,,1.0
author:md5:d6d280db5219276e0beec4c84db83a39,author:md5:9d290489a94c37920f4d6a4bcb01ea06,coauthor,,1.0
author:md5:d6d280db5219276e0beec4c84db83a39,author:md5:c7464b5269d4bab74768ac8a9dd3eb6a,coauthor,,1.0
author:md5:7dc072d2c31845cf80668f25c3314b5c,author:md5:9d290489a94c37920f4d6a4bcb01ea06,coauthor,,1.0
author:md5:7dc072d2c31845cf80668f25c3314b5c,author:md5:c7464b5269d4bab74768ac8a9dd3eb6a,coauthor,,1.0
author:md5:9d290489a94c37920f4d6a4bcb01ea06,author:md5:c7464b5269d4bab74768ac8a9dd3eb6a,coauthor,,1.0
